EDT,Latitude,Longitude,Course,Direction,KTS,MPH,feet,Rate
Wed 07:12:13 PM,41.669,19.3171,134¡,Southeast,495,570,"37,000",
Wed 07:12:43 PM,41.622,19.383,133¡,Southeast,497,572,"37,000",
Wed 07:13:13 PM,41.5737,19.4503,133¡,Southeast,498,573,"37,000",
Wed 07:13:48 PM,41.5172,19.5287,133¡,Southeast,498,573,"37,000",
Wed 07:14:18 PM,41.4703,19.5935,133¡,Southeast,499,574,"37,000",
Wed 07:14:48 PM,41.4226,19.6593,134¡,Southeast,499,574,"37,000",
Wed 07:15:18 PM,41.3729,19.7277,134¡,Southeast,499,574,"37,000",
Wed 07:15:48 PM,41.3259,19.7922,134¡,Southeast,500,575,"37,000",
Wed 07:16:18 PM,41.2768,19.8594,134¡,Southeast,500,575,"37,000",
Wed 07:16:53 PM,41.22,19.9371,134¡,Southeast,502,578,"37,000",
Wed 07:17:23 PM,41.1729,20.0013,134¡,Southeast,502,578,"37,000",
Wed 07:17:53 PM,41.1228,20.0693,134¡,Southeast,502,578,"37,000",
Wed 07:18:39 PM,41.0588,20.1562,134¡,Southeast,502,578,"37,000",
Wed 07:20:03 PM,40.9123,20.3541,134¡,Southeast,499,574,"37,000",
Wed 07:20:33 PM,40.8655,20.417,134¡,Southeast,500,575,"37,000",
Wed 07:21:08 PM,40.8075,20.4949,134¡,Southeast,499,574,"37,000",
Wed 07:21:38 PM,40.7594,20.5589,134¡,Southeast,500,575,"37,000",
Wed 07:22:08 PM,40.7097,20.6253,134¡,Southeast,500,575,"37,000",
Wed 07:22:38 PM,40.661,20.6898,134¡,Southeast,499,574,"37,000",
Wed 07:23:08 PM,40.6122,20.7548,134¡,Southeast,502,578,"37,000",
Wed 07:24:07 PM,40.5162,20.8822,134¡,Southeast,503,579,"37,000",
Wed 07:24:38 PM,40.4684,20.9453,134¡,Southeast,502,578,"37,000",
Wed 07:25:08 PM,40.4173,21.0125,134¡,Southeast,502,578,"37,000",
Wed 07:25:38 PM,40.367,21.0786,134¡,Southeast,502,578,"37,000",
Wed 07:26:13 PM,40.3103,21.1529,135¡,Southeast,503,579,"37,000",
Wed 07:26:54 PM,40.2407,21.2437,135¡,Southeast,504,580,"37,000",
Wed 07:27:24 PM,40.1907,21.309,135¡,Southeast,504,580,"37,000",
Wed 07:27:54 PM,40.1414,21.3729,135¡,Southeast,503,579,"37,000",
Wed 07:28:24 PM,40.0916,21.4376,135¡,Southeast,502,578,"37,000",
Wed 07:28:55 PM,40.0416,21.5023,135¡,Southeast,504,580,"37,000",
Wed 07:29:34 PM,39.9779,21.5846,135¡,Southeast,504,580,"37,000",
Wed 07:30:04 PM,39.9284,21.6486,135¡,Southeast,504,580,"37,000",
Wed 07:30:34 PM,39.8789,21.7122,135¡,Southeast,504,580,"37,000",
Wed 07:31:04 PM,39.8286,21.7769,135¡,Southeast,506,582,"37,000",
Wed 07:31:55 PM,39.7422,21.8875,135¡,Southeast,508,585,"37,000",
Wed 07:32:25 PM,39.6922,21.951,135¡,Southeast,509,586,"37,000",
Wed 07:32:55 PM,39.641,22.016,135¡,Southeast,508,585,"37,000",
Wed 07:33:25 PM,39.5905,22.0801,135¡,Southeast,507,583,"37,000",
Wed 07:33:55 PM,39.5408,22.1432,135¡,Southeast,506,582,"37,000",
Wed 07:34:26 PM,39.4906,22.2069,135¡,Southeast,505,581,"37,000",
Wed 07:34:56 PM,39.4403,22.2705,135¡,Southeast,504,580,"37,000",
Wed 07:35:26 PM,39.3899,22.3341,135¡,Southeast,505,581,"37,000",
Wed 07:35:56 PM,39.3396,22.3971,135¡,Southeast,505,581,"37,000",
Wed 07:36:56 PM,39.2384,22.524,135¡,Southeast,506,582,"37,000",
Wed 07:37:26 PM,39.1881,22.5868,135¡,Southeast,506,582,"37,000",
Wed 07:37:56 PM,39.1376,22.6498,135¡,Southeast,505,581,"37,000",
Wed 07:38:26 PM,39.0869,22.7127,135¡,Southeast,506,582,"37,000",
Wed 07:38:56 PM,39.0363,22.7754,135¡,Southeast,506,582,"37,000",
Wed 07:39:26 PM,38.9854,22.8385,136¡,Southeast,507,583,"37,000",
Wed 07:39:59 PM,38.929,22.9082,136¡,Southeast,507,583,"37,000",
Wed 07:40:30 PM,38.8769,22.9723,136¡,Southeast,507,583,"37,000",
Wed 07:41:00 PM,38.8298,23.0303,136¡,Southeast,506,582,"37,000",
Wed 07:41:37 PM,38.7649,23.1099,136¡,Southeast,506,582,"37,000",
Wed 07:42:07 PM,38.7137,23.1726,136¡,Southeast,506,582,"37,000",
Wed 07:42:42 PM,38.6628,23.2348,136¡,Southeast,507,583,"37,000",
Wed 07:43:12 PM,38.6056,23.3046,136¡,Southeast,507,583,"37,000",
Wed 07:43:42 PM,38.5546,23.3667,136¡,Southeast,509,586,"37,000",
Wed 07:44:16 PM,38.5021,23.4304,136¡,Southeast,509,586,"37,000",
Wed 07:45:17 PM,38.391,23.5649,136¡,Southeast,508,585,"37,000",
Wed 07:45:47 PM,38.3415,23.6244,136¡,Southeast,507,583,"37,000",
